SYMBOL,HIGH,LOW,CLOSE,R1,R2,PIVOT,S1,S2,%,>.6%,TOTTRDQTY,TOTTRDVAL,BUY,SELL
ADANIPORTS,398.5,388.1,397.1,401.0333333,404.9666667,394.5666667,390.6333333,384.1666667,0.642054575,BUY,3663748,1442999502,398.1,393.5666667
MARICO,325.75,316.2,319.45,324.7333333,330.0166667,320.4666667,315.1833333,310.9166667,-0.317245683,SKIP,3610030,1156435043,320.45,319.4666667
ENGINERSIN,156.25,152.5,155.1,156.7333333,158.3666667,154.6166667,152.9833333,150.8666667,0.312601056,SKIP,3568950,552397763.5,156.1,153.6166667
FORTIS,152.75,149.2,150.15,152.2,154.25,150.7,148.65,147.15,-0.364963504,SKIP,3502302,527471064.7,151.15,149.7
IRB,263.8,249.5,262.15,267.4666667,272.7833333,258.4833333,253.1666667,244.1833333,1.418531175,BUY,3448493,886005229.1,263.15,257.4833333
ICICIPRULI,438.35,426.25,431.05,437.5166667,443.9833333,431.8833333,425.4166667,419.7833333,-0.192953344,SKIP,3405885,1466843142,432.05,430.8833333
SUNPHARMA,522.7,511.3,512.6,519.7666667,526.9333333,515.5333333,508.3666667,504.1333333,-0.568990043,SKIP,3304748,1704429569,513.6,514.5333333
INDIACEM,146,142.55,145,146.4833333,147.9666667,144.5166667,143.0333333,141.0666667,0.334448161,SKIP,3298835,476244552.4,146,143.5166667
ABFRL,148.5,143,146.25,148.8333333,151.4166667,145.9166667,143.3333333,140.4166667,0.228440891,SKIP,3263582,471332798.2,147.25,144.9166667
KTKBANK,117.65,116.15,116.75,117.55,118.35,116.85,116.05,115.35,-0.085579803,SKIP,3162077,369344151.7,117.75,115.85
L&TFH,167.45,163.7,165.05,167.1,169.15,165.4,163.35,161.65,-0.211608222,SKIP,3157383,521774692.7,166.05,164.4
MRPL,110.75,108.2,109.1,110.5,111.9,109.35,107.95,106.8,-0.228623685,SKIP,3118544,341577142.7,110.1,108.35
DCBBANK,197.65,191.4,195.7,198.4333333,201.1666667,194.9166667,192.1833333,188.6666667,0.401881146,SKIP,3098058,601634804,196.7,193.9166667
TECHM,697,680.65,691.1,698.5166667,705.9333333,689.5833333,682.1666667,673.2333333,0.219939577,SKIP,2852323,1966683692,692.1,688.5833333
ADANIENT,141.75,136,140.55,142.8666667,145.1833333,139.4333333,137.1166667,133.6833333,0.800860626,BUY,2829547,391681242.4,141.55,138.4333333
BIOCON,666.25,654.8,663.5,668.2333333,672.9666667,661.5166667,656.7833333,650.0666667,0.299816079,SKIP,2820936,1866029539,664.5,660.5166667
KARURVYSYA,106.35,102,105.15,107,108.85,104.5,102.65,100.15,0.622009569,BUY,2794098,293377987.7,106.15,103.5
COALINDIA,292.95,288.25,290.8,293.0833333,295.3666667,290.6666667,288.3833333,285.9666667,0.04587156,SKIP,2781512,807299564.7,291.8,289.6666667
HINDZINC,326.15,318.45,320,324.6166667,329.2333333,321.5333333,316.9166667,313.8333333,-0.476881609,SKIP,2669645,855038364.1,321,320.5333333
APOLLOTYRE,287.4,282.05,285.95,288.2166667,290.4833333,285.1333333,282.8666667,279.7833333,0.286415712,SKIP,2654908,756554735.2,286.95,284.1333333
BFUTILITIE,435,396.1,431.1,445.3666667,459.6333333,420.7333333,406.4666667,381.8333333,2.46395183,SKIP,2453724,1033425025,432.1,419.7333333
NBCC,107.8,103.55,104.65,107.1166667,109.5833333,105.3333333,102.8666667,101.0833333,-0.648734177,SELL,2448428,257171644.7,105.65,104.3333333
