,RQ_1_2_PAT_PChg,RQ_1_2_Operating_Profit_PChg,RQ_1_2_Total_Exp_PChg,RQ_1_2_Ebit_PChg,RQ_1_2_Ebitda_PChg,RQ_1_2_Close_PChg,RQ_2_3_PAT_PChg,RQ_2_3_Operating_Profit_PChg,RQ_2_3_Total_Exp_PChg,RQ_2_3_Ebit_PChg,RQ_2_3_Ebitda_PChg,RQ_2_3_Close_PChg,RQ_3_4_PAT_PChg,RQ_3_4_Operating_Profit_PChg,RQ_3_4_Total_Exp_PChg,RQ_3_4_Ebit_PChg,RQ_3_4_Ebitda_PChg,RQ_3_4_Close_PChg,RQ_4_5_PAT_PChg,RQ_4_5_Operating_Profit_PChg,RQ_4_5_Total_Exp_PChg,RQ_4_5_Ebit_PChg,RQ_4_5_Ebitda_PChg,RQ_4_5_Close_PChg
KRIDHANINF,218.75,802.0408163265305,-22.994402985074625,671.5909090909091,535.4545454545455,-12.03971865949524,433.33333333333337,-38.75000000000001,12.545931758530186,-26.66666666666667,-20.28985507246375,47.01946472019465,-70.0,-11.111111111111107,-21.862182116488924,13.207547169811312,6.153846153846143,16.678495386799145,-41.1764705882353,275.00000000000006,225.93582887700532,12.765957446808526,14.03508771929826,37.46341463414634
INDORAMA,57.678292555960425,-35.299374441465595,-0.0779605519607256,53.55892648774797,-30.058284762697745,-33.447488584474875,9.023836549375707,-31.223110018438838,-14.733938245753976,146.26436781609198,-30.21499128413713,64.97175141242937,13.16634553628774,-16.263510036026762,4.830926290482748,-3579.9999999999995,-15.925744992672195,-9.075342465753419,4.989885367498316,1394.6153846153845,4.584130454586856,-108.40336134453786,9.40673436664884,-10.291858678955448
SAKSOFT,264.38356164383566,0.0,10.218978102189777,67.46987951807228,63.295880149812746,-4.76618705035971,-37.60683760683761,-21.140939597315434,30.02588438308888,-14.432989690721646,-13.311688311688313,-3.409337676438652,-73.28767123287672,-5.0955414012738895,7.513914656771804,-54.100946372239754,-52.61538461538462,15.878208354302974,54.77031802120141,84.70588235294119,7.157057654075536,33.47368421052631,30.260521042084164,-8.242900023089366
RENUKA,-58.028169014084504,-101.59151193633951,-29.11541577668116,-82.64580369843527,-102.36290682122156,-15.96091205211726,-81.21196083620006,-769.2307692307692,-21.292753623188407,-1564.583333333333,-531.3461538461538,-6.116207951070348,1795.8193979933114,549.9999999999999,26.838235294117645,-181.3559322033898,477.77777777777777,18.050541516245502,29.71800433839478,40.54054054054054,-14.379249559304967,-8.171206225680926,25.0,10.358565737051782
SKMEGGPROD,-769.2307692307692,-345.5172413793104,-20.678581401843058,60.33057851239669,23.776223776223784,-6.231799650553285,-107.02702702702702,-390.0,0.26599468010639465,-67.81914893617022,-46.34146341463415,-11.03626943005182,-271.2962962962963,-121.0084033613445,1.940916226630532,342.3529411764705,128.75536480686696,30.93622795115332,-178.83211678832114,-162.46719160104985,-4.497751124437796,-64.43514644351464,-38.84514435695538,7.356154406409317
BASF,-62.94893165631156,-4.888127393670625,23.17694520790139,-18.713210130047905,-12.2068714779131,1.2972157953570618,853.6127167630057,46.10513915476366,2.767523103986521,110.82251082251082,53.316610925306556,-10.201461353502813,-95.99791799201898,-40.62254087610388,-9.691445960157226,-54.77682067345341,-38.53533190578158,42.67110741049125,25327.941176470587,63.43240925978851,-6.90131652038663,146.36655948553056,66.12122936824132,-15.811462539255276
GAYAPROJ,56.38435081685296,10.708437166251349,1.8744596683346075,2.7104784978800605,4.360725867660245,-11.16515586999779,96.20413327709828,88.0942815052899,119.0525379472612,112.6207340631037,91.65564665432426,26.76569506726457,-47.43959210818,-23.068205233875947,-37.204273950882,-32.522268086030856,-27.836625632216816,12.271869100062931,39.91935483870967,-23.40593434343434,-19.070533852457817,-23.2257526478192,-19.30540582165409,9.965397923875436
MFSL,-682.0987654320987,-918.6804451510334,6.560065600655999,-892.3611111111112,-927.1050521251002,-4.6091079501598795,-114.59459459459457,-114.10946612830864,-20.241988227599734,-114.59459459459457,-113.96729390681006,-23.468354430379748,-558.204334365325,-562.9283489096573,23.30645161290321,-558.204334365325,-572.1311475409836,0.2707733965137964,-129.1078401922499,-128.76344086021507,0.4455245038477093,-129.1078401922499,-128.19862809424396,-6.369830454761534
BHARATFIN,-32.511519642772306,11.772905474081593,16.205533596837938,-2.262790519291254,-2.5368373082181472,5.4383005880476,29.456982965377264,13.165072792401984,-2.262693156732888,14.73202499339964,14.683081211346938,9.663067386522679,36.18927973199331,18.710256310225123,-3.686880889103646,15.434628018014962,15.40343117544566,5.534159852281724,-422.2672064777328,188.95276744448205,-35.823487456197476,114.16346363043007,112.24663964156174,31.51321723444113
SETCO,-47.79834077855776,-29.00343642611684,-20.46492603449451,-32.241897761443354,-27.498555748122463,-21.44249512670565,39.04170363797693,33.67018833256776,18.41298030351954,47.65663542180562,40.27552674230145,-19.466248037676614,-18.095930232558146,15.921192758253452,6.912919651333383,-5.3688141923436135,-4.2668735453840245,68.74172185430464,-215.7275021026072,-650.733137829912,60.77424725960874,-582.4324324324325,-18514.285714285714,2.7210884353741496
LUMAXIND,-7.165775401069518,-12.325231232523134,-11.144061183080995,-18.003565062388578,-13.444140542815065,-7.9247786598339225,7.71889400921659,41.092564491654024,51.7078079677973,45.96704249783175,36.42365097588977,3.1357651833325595,-4.615384615384615,9.105960264900672,-3.3166404349692304,-0.4317789291882618,0.1725129384703918,70.79185976224058,95.90958019375674,23.114553607827144,7.9148909888209475,51.96850393700787,31.642694928084783,-12.951204967201033
PANACEABIO,-11.946446961894953,-29.132299571098642,19.885104636848602,15.132693393562956,6.024844720496888,9.938271604938262,72.46891651865009,-17.792243016002168,5.315471045808118,-27.089337175792497,-16.817359855334534,16.57471815783162,-88.26838924775996,-608.5517241379309,3.7482065997130634,-219.0102890739834,-743.0232558139536,53.15944158706835,88.2699097685367,-115.1768892610425,-6.482180293501052,-152.17280163599182,-110.91172738807322,-15.623062616243036
BLUEDART,-35.30618224435981,-21.515418502202646,4.2756280112723895,-25.74568288854003,-20.864237342792656,-2.906799336650088,-24.972521433282036,-29.485586481113323,5.753793401804162,-32.23404255319149,-28.109423901703945,-17.22217951393084,9.905774341628415,4.873599166015128,-0.3162484626810871,5.75165236956828,4.506359781950332,10.032022234306092,96.25414888572784,67.40837696335075,0.8488772913243745,77.33167082294263,60.26014366142497,-12.137556138320582
