,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
1279,PRECOT,EQ,60.25,60.25,60.25,60.25,60.25,59.35,1075,64768.75,08-MAY-2018,20,INE283A01014
1280,PRECWIRE,EQ,308.35,315.8,304.05,312.0,311.1,308.35,11850,3680359.3,08-MAY-2018,329,INE372C01029
1281,PREMEXPLN,EQ,341.25,353.85,336.05,344.65,346.4,345.0,3209,1109561.95,08-MAY-2018,94,INE863B01011
1282,PREMIER,EQ,19.8,21.45,19.8,20.15,20.05,20.0,11088,227729.8,08-MAY-2018,123,INE342A01018
1283,PREMIERPOL,EQ,39.0,40.4,37.7,38.7,37.7,39.75,1938,74928.65,08-MAY-2018,33,INE309M01012
1284,PRESSMN,EQ,47.6,47.6,46.5,47.1,47.05,47.6,8022,378120.8,08-MAY-2018,69,INE980A01023
1285,PRESTIGE,EQ,291.1,294.8,290.05,291.0,290.65,291.1,53217,15533474.7,08-MAY-2018,5151,INE811K01011
1286,PRICOLLTD,EQ,90.95,90.95,87.1,87.75,87.7,90.1,126712,11292651.2,08-MAY-2018,890,INE726V01018
1287,PRIMESECU,EQ,44.2,44.8,43.7,44.1,44.1,44.3,12826,565689.6,08-MAY-2018,327,INE032B01021
1288,PROVOGE,EQ,4.9,5.15,4.85,4.85,4.95,4.9,88326,438486.85,08-MAY-2018,118,INE968G01033
1289,PROZONINTU,EQ,46.4,47.6,46.2,46.6,46.5,46.55,67689,3174006.65,08-MAY-2018,511,INE195N01013
1290,PRSMJOHNSN,EQ,117.25,121.5,117.25,118.55,118.3,119.6,121577,14503426.35,08-MAY-2018,1493,INE010A01011
1291,PSB,EQ,35.4,35.4,34.6,34.75,34.9,34.75,46213,1611231.4,08-MAY-2018,352,INE608A01012
1292,PSL,EQ,3.0,3.1,2.95,2.95,2.95,3.0,24482,73133.55,08-MAY-2018,53,INE474B01017
1293,PSPPROJECT,EQ,578.9,590.0,566.4,570.15,568.75,575.55,38562,22125342.15,08-MAY-2018,1312,INE488V01015
1294,PSUBNKBEES,EQ,317.0,323.0,312.75,319.33,320.0,316.65,1919,612717.11,08-MAY-2018,74,INF732E01110
1295,PTC,EQ,93.0,98.55,92.8,97.2,96.9,93.35,7080224,682516501.75,08-MAY-2018,26537,INE877F01012
1296,PTL,EQ,50.0,51.0,50.0,50.15,50.0,50.6,22924,1152429.65,08-MAY-2018,150,INE034D01031
1297,PULZ,SM,38.6,38.6,38.05,38.55,38.55,38.0,6000,230400.0,08-MAY-2018,3,INE335X01014
1298,PUNJABCHEM,EQ,534.65,539.0,522.2,524.7,525.0,530.55,2686,1423894.5,08-MAY-2018,196,INE277B01014
1299,PUNJLLOYD,EQ,16.9,17.05,16.55,16.6,16.55,16.7,545073,9099373.15,08-MAY-2018,1490,INE701B01021
